Wavecontrol MonitEM data
Date: 09/17/2021 09:23:16
MonitEM Serial: 13MT0276
Probe serial: 13WP040321
Frecuencies: 100kHz-8GHz
Units: V/m
Date,Time,Value,GPGGA,gps_time,lat,N/S,lon,E/O,fix,number_satellites,diution,height,M,geoid_height,M,,*CRC,GPGSA,A,3D_fix,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PDOP,HDOP,VDOP*CRC
2021/09/08,14:06:15,0.39,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:16,0.33,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:17,0.35,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:18,0.39,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:19,0.38,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:20,0.37,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:21,0.38,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:22,0.32,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:23,0.37,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:24,0.34,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/09/08,14:06:25,0.35,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
